Temp (C) -2h,Dew Point Temp (C) -2h,Rel Hum (%) -2h,Wind Dir (10s deg) -2h,Wind Spd (km/h) -2h,Visibility (km) -2h,Stn Press (kPa) -2h,Weather -2h,Temp (C) -1h,Dew Point Temp (C) -1h,Rel Hum (%) -1h,Wind Dir (10s deg) -1h,Wind Spd (km/h) -1h,Visibility (km) -1h,Stn Press (kPa) -1h,Weather -1h,Weather
4.4,3.1,92,14,8,32.2,101.55,FALSE,1.9,1.4,96,1,9,32.2,101.55,FALSE,FALSE
1.9,1.4,96,1,9,32.2,101.55,FALSE,2.9,2.4,97,8,10,32.2,101.54,FALSE,FALSE
2.9,2.4,97,8,10,32.2,101.54,FALSE,4.9,3.7,92,7,10,32.2,101.52,FALSE,FALSE
4.9,3.7,92,7,10,32.2,101.52,FALSE,7.3,4.5,82,12,7,32.2,101.46,FALSE,FALSE
7.3,4.5,82,12,7,32.2,101.46,FALSE,8.2,4.5,77,21,17,32.2,101.4,FALSE,FALSE
8.2,4.5,77,21,17,32.2,101.4,FALSE,8.4,4.4,76,21,17,32.2,101.39,FALSE,FALSE
8.4,4.4,76,21,17,32.2,101.39,FALSE,8,3.9,76,22,20,32.2,101.35,FALSE,FALSE
8,3.9,76,22,20,32.2,101.35,FALSE,9.2,2.8,64,31,12,32.2,101.35,FALSE,FALSE
9.2,2.8,64,31,12,32.2,101.35,FALSE,8.4,0.8,59,24,7,32.2,101.33,FALSE,FALSE
8.4,0.8,59,24,7,32.2,101.33,FALSE,8.1,1.9,65,24,3,32.2,101.34,FALSE,FALSE
8.1,1.9,65,24,3,32.2,101.34,FALSE,7.6,1.7,66,22,10,32.2,101.32,FALSE,FALSE
7.6,1.7,66,22,10,32.2,101.32,FALSE,6.9,3.2,77,20,4,32.2,101.25,FALSE,FALSE
6.9,3.2,77,20,4,32.2,101.25,FALSE,6.7,1.9,71,27,25,32.2,101.25,FALSE,FALSE
6.7,1.9,71,27,25,32.2,101.25,FALSE,6.4,2.5,76,24,23,32.2,101.19,FALSE,FALSE
6.4,2.5,76,24,23,32.2,101.19,FALSE,6.3,1.9,73,22,22,32.2,101.13,FALSE,FALSE
6.3,1.9,73,22,22,32.2,101.13,FALSE,6,0.7,69,26,19,32.2,101.11,FALSE,FALSE
6,0.7,69,26,19,32.2,101.11,FALSE,5.7,2,77,23,13,32.2,101.01,FALSE,FALSE
5.7,2,77,23,13,32.2,101.01,FALSE,5.7,2.3,78,22,21,32.2,100.94,FALSE,FALSE
5.7,2.3,78,22,21,32.2,100.94,FALSE,5.7,2.5,80,26,8,32.2,100.92,FALSE,TRUE
5.7,2.5,80,26,8,32.2,100.92,FALSE,4.9,2,82,32,14,32.2,100.94,TRUE,FALSE
4.9,2,82,32,14,32.2,100.94,TRUE,3.9,2,88,27,30,32.2,100.91,FALSE,FALSE
3.9,2,88,27,30,32.2,100.91,FALSE,4.4,1.6,82,29,50,32.2,100.89,FALSE,FALSE
4.4,1.6,82,29,50,32.2,100.89,FALSE,4.5,1.8,82,29,53,32.2,100.97,FALSE,FALSE
4.5,1.8,82,29,53,32.2,100.97,FALSE,4.3,1.9,84,29,44,32.2,101.01,FALSE,FALSE
4.3,1.9,84,29,44,32.2,101.01,FALSE,4.3,1.5,82,29,41,32.2,101.06,FALSE,FALSE
4.3,1.5,82,29,41,32.2,101.06,FALSE,5,1.8,80,31,37,32.2,101.17,FALSE,FALSE
5,1.8,80,31,37,32.2,101.17,FALSE,5.5,1.9,78,31,28,32.2,101.24,FALSE,FALSE
5.5,1.9,78,31,28,32.2,101.24,FALSE,6.4,1.9,73,30,32,32.2,101.31,FALSE,FALSE
6.4,1.9,73,30,32,32.2,101.31,FALSE,7.3,2.3,71,29,38,32.2,101.29,FALSE,FALSE
7.3,2.3,71,29,38,32.2,101.29,FALSE,7.8,3.3,73,29,40,32.2,101.28,FALSE,FALSE
7.8,3.3,73,29,40,32.2,101.28,FALSE,7.9,2.6,69,29,48,32.2,101.24,FALSE,FALSE
7.9,2.6,69,29,48,32.2,101.24,FALSE,8.2,2.5,67,29,45,32.2,101.23,FALSE,FALSE
8.2,2.5,67,29,45,32.2,101.23,FALSE,8.1,1.4,62,28,54,32.2,101.21,FALSE,FALSE
8.1,1.4,62,28,54,32.2,101.21,FALSE,8.1,0,57,29,54,32.2,101.17,FALSE,FALSE
8.1,0,57,29,54,32.2,101.17,FALSE,7.2,-0.6,57,29,52,32.2,101.14,FALSE,FALSE
7.2,-0.6,57,29,52,32.2,101.14,FALSE,6.4,0.7,67,29,52,32.2,101.13,FALSE,FALSE
6.4,0.7,67,29,52,32.2,101.13,FALSE,6.1,1.6,73,29,48,32.2,101.18,FALSE,FALSE
6.1,1.6,73,29,48,32.2,101.18,FALSE,5.6,1.1,73,29,41,32.2,101.24,FALSE,FALSE
5.6,1.1,73,29,41,32.2,101.24,FALSE,5.4,1.2,74,29,34,32.2,101.34,FALSE,FALSE
5.4,1.2,74,29,34,32.2,101.34,FALSE,5.2,1.3,76,30,34,32.2,101.42,FALSE,FALSE
5.2,1.3,76,30,34,32.2,101.42,FALSE,4.6,0.9,77,31,28,32.2,101.5,FALSE,FALSE
4.6,0.9,77,31,28,32.2,101.5,FALSE,3.5,0.5,81,31,22,32.2,101.57,FALSE,FALSE
3.5,0.5,81,31,22,32.2,101.57,FALSE,2.2,-1,79,30,16,32.2,101.7,FALSE,FALSE
2.2,-1,79,30,16,32.2,101.7,FALSE,2.7,-2,71,4,8,32.2,101.81,FALSE,FALSE
2.7,-2,71,4,8,32.2,101.81,FALSE,2,-2.4,73,3,8,32.2,101.91,FALSE,FALSE
2,-2.4,73,3,8,32.2,101.91,FALSE,0.4,-2.3,82,36,2,32.2,101.95,FALSE,FALSE
0.4,-2.3,82,36,2,32.2,101.95,FALSE,-2.1,-3.4,91,9,11,32.2,102.06,FALSE,FALSE
-2.1,-3.4,91,9,11,32.2,102.06,FALSE,-0.9,-2.7,88,3,5,32.2,102.13,FALSE,FALSE
-0.9,-2.7,88,3,5,32.2,102.13,FALSE,-0.7,-2.5,88,5,5,32.2,102.18,FALSE,FALSE
-0.7,-2.5,88,5,5,32.2,102.18,FALSE,0,-1.9,87,3,6,32.2,102.29,FALSE,FALSE
0,-1.9,87,3,6,32.2,102.29,FALSE,2.4,-0.5,81,10,13,32.2,102.34,FALSE,FALSE
2.4,-0.5,81,10,13,32.2,102.34,FALSE,3.3,-0.7,75,10,13,32.2,102.4,FALSE,FALSE
3.3,-0.7,75,10,13,32.2,102.4,FALSE,4.9,0.5,74,10,9,32.2,102.44,FALSE,FALSE
4.9,0.5,74,10,9,32.2,102.44,FALSE,6.1,-0.4,63,36,2,32.2,102.45,FALSE,FALSE
6.1,-0.4,63,36,2,32.2,102.45,FALSE,7.1,0.8,64,12,8,40.2,102.43,FALSE,FALSE
7.1,0.8,64,12,8,40.2,102.43,FALSE,6.1,0.4,67,23,12,32.2,102.4,FALSE,FALSE
6.1,0.4,67,23,12,32.2,102.4,FALSE,5.9,0.4,68,23,11,32.2,102.44,FALSE,FALSE
5.9,0.4,68,23,11,32.2,102.44,FALSE,5.8,0.8,70,20,11,32.2,102.44,FALSE,FALSE
5.8,0.8,70,20,11,32.2,102.44,FALSE,6.1,1,70,20,7,32.2,102.43,FALSE,FALSE
6.1,1,70,20,7,32.2,102.43,FALSE,5.8,0.7,70,11,4,16.1,102.45,FALSE,TRUE
5.8,0.7,70,11,4,16.1,102.45,FALSE,5.8,0.2,67,10,5,32.2,102.44,TRUE,TRUE
5.8,0.2,67,10,5,32.2,102.44,TRUE,5.4,1.4,76,36,6,32.2,102.44,TRUE,TRUE
5.4,1.4,76,36,6,32.2,102.44,TRUE,5,2.2,82,2,7,24.1,102.47,TRUE,TRUE
5,2.2,82,2,7,24.1,102.47,TRUE,4.3,2.6,89,6,10,24.1,102.48,TRUE,TRUE
4.3,2.6,89,6,10,24.1,102.48,TRUE,4,2.7,91,8,11,24.1,102.5,TRUE,TRUE
4,2.7,91,8,11,24.1,102.5,TRUE,3.7,2.8,94,8,10,24.1,102.48,TRUE,TRUE
3.7,2.8,94,8,10,24.1,102.48,TRUE,3.7,2.9,95,8,15,24.1,102.46,TRUE,TRUE
3.7,2.9,95,8,15,24.1,102.46,TRUE,3.6,2.9,95,7,14,16.1,102.46,TRUE,TRUE
3.6,2.9,95,7,14,16.1,102.46,TRUE,3.4,2.8,96,7,13,3.6,102.45,TRUE,TRUE
3.4,2.8,96,7,13,3.6,102.45,TRUE,3.3,3,97,7,14,4.8,102.49,TRUE,TRUE
3.3,3,97,7,14,4.8,102.49,TRUE,3.4,3,97,8,12,4.8,102.5,TRUE,FALSE
3.4,3,97,8,12,4.8,102.5,TRUE,3.4,3.1,98,8,14,24.1,102.49,FALSE,TRUE
3.4,3.1,98,8,14,24.1,102.49,FALSE,3.6,3.3,98,8,15,2.8,102.5,TRUE,FALSE
3.6,3.3,98,8,15,2.8,102.5,TRUE,3.8,3.6,98,8,15,3.2,102.54,FALSE,TRUE
3.8,3.6,98,8,15,3.2,102.54,FALSE,4.1,3.9,98,8,14,3.2,102.59,TRUE,FALSE
4.1,3.9,98,8,14,3.2,102.59,TRUE,4.5,4.2,98,6,19,4.8,102.61,FALSE,FALSE
4.5,4.2,98,6,19,4.8,102.61,FALSE,5.2,4.8,97,8,14,4.8,102.59,FALSE,FALSE
5.2,4.8,97,8,14,4.8,102.59,FALSE,6,5.2,95,9,20,24.1,102.57,FALSE,FALSE
6,5.2,95,9,20,24.1,102.57,FALSE,6.2,5.3,94,8,19,24.1,102.51,FALSE,FALSE
6.2,5.3,94,8,19,24.1,102.51,FALSE,6.4,5.5,94,8,18,6.4,102.45,FALSE,FALSE
6.4,5.5,94,8,18,6.4,102.45,FALSE,6.5,5.8,95,9,17,24.1,102.38,FALSE,FALSE
6.5,5.8,95,9,17,24.1,102.38,FALSE,6.5,5.9,96,8,16,3.2,102.36,FALSE,FALSE
6.5,5.9,96,8,16,3.2,102.36,FALSE,6.4,6,97,7,18,17.7,102.25,FALSE,TRUE
6.4,6,97,7,18,17.7,102.25,FALSE,6.7,5.8,94,7,15,24.1,102.16,TRUE,FALSE
6.7,5.8,94,7,15,24.1,102.16,TRUE,6.8,5.7,93,9,13,24.1,102.14,FALSE,FALSE
6.8,5.7,93,9,13,24.1,102.14,FALSE,6.6,5.6,93,8,16,24.1,102.05,FALSE,FALSE
6.6,5.6,93,8,16,24.1,102.05,FALSE,6.5,5.1,91,9,18,24.1,101.98,FALSE,FALSE
6.5,5.1,91,9,18,24.1,101.98,FALSE,7,5.3,89,8,17,24.1,101.96,FALSE,FALSE
7,5.3,89,8,17,24.1,101.96,FALSE,7,5.5,90,9,11,24.1,101.94,FALSE,FALSE
7,5.5,90,9,11,24.1,101.94,FALSE,10.3,8.9,91,33,6,24.1,102.62,FALSE,FALSE
10.3,8.9,91,33,6,24.1,102.62,FALSE,10.3,8,86,36,5,24.1,102.57,FALSE,FALSE
10.3,8,86,36,5,24.1,102.57,FALSE,10,8.6,91,36,2,24.1,102.58,FALSE,FALSE
10,8.6,91,36,2,24.1,102.58,FALSE,9.9,9.3,96,20,5,24.1,102.57,FALSE,FALSE
9.9,9.3,96,20,5,24.1,102.57,FALSE,10,9.2,95,36,2,24.1,102.53,FALSE,FALSE
10,9.2,95,36,2,24.1,102.53,FALSE,10.4,7.9,84,7,10,24.1,102.46,FALSE,FALSE
10.4,7.9,84,7,10,24.1,102.46,FALSE,9.8,8.6,92,2,3,24.1,102.44,FALSE,FALSE
9.8,8.6,92,2,3,24.1,102.44,FALSE,9.8,8.9,95,34,4,24.1,102.45,FALSE,FALSE
9.8,8.9,95,34,4,24.1,102.45,FALSE,10.6,8.2,85,2,4,32.2,102.42,FALSE,FALSE
10.6,8.2,85,2,4,32.2,102.42,FALSE,11.3,8.3,82,3,8,32.2,102.42,FALSE,FALSE
11.3,8.3,82,3,8,32.2,102.42,FALSE,12.5,9.4,81,36,2,32.2,102.42,FALSE,FALSE
12.5,9.4,81,36,2,32.2,102.42,FALSE,13.4,9.5,77,32,8,32.2,102.4,FALSE,FALSE
13.4,9.5,77,32,8,32.2,102.4,FALSE,15.1,10.4,74,31,9,32.2,102.38,FALSE,FALSE
15.1,10.4,74,31,9,32.2,102.38,FALSE,15.2,9.6,69,26,13,32.2,102.33,FALSE,FALSE
15.2,9.6,69,26,13,32.2,102.33,FALSE,15.7,9.7,67,27,11,32.2,102.27,FALSE,FALSE
15.7,9.7,67,27,11,32.2,102.27,FALSE,15.3,9.2,67,25,12,32.2,102.21,FALSE,FALSE
15.3,9.2,67,25,12,32.2,102.21,FALSE,15.5,9.2,66,25,11,32.2,102.21,FALSE,FALSE
15.5,9.2,66,25,11,32.2,102.21,FALSE,17.1,9.9,62,36,2,32.2,102.12,FALSE,FALSE
17.1,9.9,62,36,2,32.2,102.12,FALSE,17.8,12.8,72,23,9,32.2,102.07,FALSE,FALSE
17.8,12.8,72,23,9,32.2,102.07,FALSE,16.3,10.5,68,26,8,32.2,102.04,FALSE,FALSE
16.3,10.5,68,26,8,32.2,102.04,FALSE,15.6,10.3,70,21,7,32.2,102.01,FALSE,FALSE
15.6,10.3,70,21,7,32.2,102.01,FALSE,15.4,9,66,17,8,24.1,101.99,FALSE,FALSE
15.4,9,66,17,8,24.1,101.99,FALSE,14.6,9.3,70,16,9,24.1,102,FALSE,FALSE
14.6,9.3,70,16,9,24.1,102,FALSE,15.6,8.4,62,10,4,24.1,102.1,FALSE,TRUE
15.6,8.4,62,10,4,24.1,102.1,FALSE,12.6,9.6,82,29,12,24.1,102.18,TRUE,TRUE
12.6,9.6,82,29,12,24.1,102.18,TRUE,10.9,8.7,86,27,9,19.3,102.16,TRUE,TRUE
10.9,8.7,86,27,9,19.3,102.16,TRUE,10.8,9.2,90,16,5,12.9,102.17,TRUE,TRUE
10.8,9.2,90,16,5,12.9,102.17,TRUE,10.4,9.5,94,8,7,9.7,102.17,TRUE,TRUE
10.4,9.5,94,8,7,9.7,102.17,TRUE,10.9,10.4,97,4,8,12.9,102.13,TRUE,TRUE
10.9,10.4,97,4,8,12.9,102.13,TRUE,11.2,10.8,97,8,13,19.3,102.1,TRUE,FALSE
11.2,10.8,97,8,13,19.3,102.1,TRUE,11.3,10.6,95,5,13,24.1,102.04,FALSE,TRUE
11.3,10.6,95,5,13,24.1,102.04,FALSE,11.1,10.4,95,7,11,9.7,102.06,TRUE,TRUE
11.1,10.4,95,7,11,9.7,102.06,TRUE,11,10.1,94,11,15,24.1,102.08,TRUE,TRUE
11,10.1,94,11,15,24.1,102.08,TRUE,10.8,9.8,94,9,13,24.1,102.08,TRUE,FALSE
10.8,9.8,94,9,13,24.1,102.08,TRUE,11.1,10,92,10,17,32.2,102.08,FALSE,FALSE
11.1,10,92,10,17,32.2,102.08,FALSE,12.1,10.4,89,12,12,32.2,102.07,FALSE,FALSE
12.1,10.4,89,12,12,32.2,102.07,FALSE,13.3,11.1,86,11,12,32.2,102.06,FALSE,FALSE
13.3,11.1,86,11,12,32.2,102.06,FALSE,13.9,11.2,84,12,16,32.2,102.06,FALSE,FALSE
13.9,11.2,84,12,16,32.2,102.06,FALSE,15.5,11.4,76,16,15,32.2,102.04,FALSE,FALSE
15.5,11.4,76,16,15,32.2,102.04,FALSE,16.5,11.2,71,17,16,32.2,102.02,FALSE,FALSE
16.5,11.2,71,17,16,32.2,102.02,FALSE,16.5,11.4,72,14,14,32.2,102.01,FALSE,FALSE
16.5,11.4,72,14,14,32.2,102.01,FALSE,17.4,10.6,64,15,19,32.2,101.96,FALSE,FALSE
17.4,10.6,64,15,19,32.2,101.96,FALSE,16.3,11.2,72,14,22,32.2,101.91,FALSE,FALSE
16.3,11.2,72,14,22,32.2,101.91,FALSE,15.9,10.2,69,15,19,32.2,101.85,FALSE,FALSE
15.9,10.2,69,15,19,32.2,101.85,FALSE,14.7,10.2,74,15,17,32.2,101.8,FALSE,FALSE
14.7,10.2,74,15,17,32.2,101.8,FALSE,13.7,8.6,71,17,10,32.2,101.77,FALSE,FALSE
13.7,8.6,71,17,10,32.2,101.77,FALSE,13.5,7.8,68,19,10,24.1,101.78,FALSE,FALSE
13.5,7.8,68,19,10,24.1,101.78,FALSE,12.3,9.2,81,25,9,24.1,101.81,FALSE,FALSE
12.3,9.2,81,25,9,24.1,101.81,FALSE,12.2,7.3,72,31,23,24.1,101.81,FALSE,FALSE
12.2,7.3,72,31,23,24.1,101.81,FALSE,11.5,7.5,76,30,18,24.1,101.84,FALSE,FALSE
11.5,7.5,76,30,18,24.1,101.84,FALSE,10.8,7.5,80,28,21,24.1,101.84,FALSE,FALSE
10.8,7.5,80,28,21,24.1,101.84,FALSE,10.7,7.3,79,29,27,24.1,101.82,FALSE,FALSE
10.7,7.3,79,29,27,24.1,101.82,FALSE,10.4,7.4,81,27,21,24.1,101.79,FALSE,FALSE
10.4,7.4,81,27,21,24.1,101.79,FALSE,9.2,7.1,87,26,14,24.1,101.81,FALSE,FALSE
9.2,7.1,87,26,14,24.1,101.81,FALSE,9.7,7.2,84,25,15,24.1,101.82,FALSE,FALSE
9.7,7.2,84,25,15,24.1,101.82,FALSE,10,7,81,26,13,24.1,101.83,FALSE,FALSE
10,7,81,26,13,24.1,101.83,FALSE,10.2,7.3,82,20,7,40.2,101.83,FALSE,FALSE
10.2,7.3,82,20,7,40.2,101.83,FALSE,11.7,7.7,76,26,18,40.2,101.88,FALSE,FALSE
11.7,7.7,76,26,18,40.2,101.88,FALSE,12.4,7.6,72,27,22,40.2,101.89,FALSE,FALSE
12.4,7.6,72,27,22,40.2,101.89,FALSE,11.9,9.2,83,29,19,40.2,101.91,FALSE,FALSE
11.9,9.2,83,29,19,40.2,101.91,FALSE,13,9.6,80,29,21,40.2,101.91,FALSE,FALSE
13,9.6,80,29,21,40.2,101.91,FALSE,12.6,9.5,81,28,17,40.2,101.93,FALSE,FALSE
12.6,9.5,81,28,17,40.2,101.93,FALSE,13.5,9.2,75,29,17,40.2,101.91,FALSE,FALSE
13.5,9.2,75,29,17,40.2,101.91,FALSE,13.6,7.9,68,27,17,40.2,101.89,FALSE,FALSE
13.6,7.9,68,27,17,40.2,101.89,FALSE,14.5,7,60,24,16,40.2,101.89,FALSE,FALSE
14.5,7,60,24,16,40.2,101.89,FALSE,14.4,6.2,58,23,15,40.2,101.86,FALSE,FALSE
14.4,6.2,58,23,15,40.2,101.86,FALSE,14.7,5.4,53,21,16,40.2,101.82,FALSE,FALSE
14.7,5.4,53,21,16,40.2,101.82,FALSE,14.4,4.5,51,21,18,40.2,101.83,FALSE,FALSE
14.4,4.5,51,21,18,40.2,101.83,FALSE,13.7,4.9,55,20,16,40.2,101.84,FALSE,FALSE
13.7,4.9,55,20,16,40.2,101.84,FALSE,12.2,6.4,67,21,9,40.2,101.85,FALSE,FALSE
12.2,6.4,67,21,9,40.2,101.85,FALSE,10.9,8.1,83,24,11,32.2,101.89,FALSE,FALSE
10.9,8.1,83,24,11,32.2,101.89,FALSE,10.6,7.5,81,23,8,32.2,101.94,FALSE,FALSE
10.6,7.5,81,23,8,32.2,101.94,FALSE,9.6,6.9,83,28,12,32.2,101.99,FALSE,FALSE
9.6,6.9,83,28,12,32.2,101.99,FALSE,9.8,7.4,85,20,7,32.2,102.03,FALSE,FALSE
9.8,7.4,85,20,7,32.2,102.03,FALSE,8.4,5.8,84,10,9,32.2,102.08,FALSE,FALSE
8.4,5.8,84,10,9,32.2,102.08,FALSE,7.6,6.2,91,10,13,32.2,102.1,FALSE,FALSE
7.6,6.2,91,10,13,32.2,102.1,FALSE,8.2,5.8,84,8,16,32.2,102.11,FALSE,FALSE
8.2,5.8,84,8,16,32.2,102.11,FALSE,8,5.4,83,8,12,32.2,102.15,FALSE,FALSE
8,5.4,83,8,12,32.2,102.15,FALSE,7.2,4.7,84,3,7,32.2,102.2,FALSE,FALSE
7.2,4.7,84,3,7,32.2,102.2,FALSE,7.5,4.9,83,5,9,32.2,102.23,FALSE,FALSE
7.5,4.9,83,5,9,32.2,102.23,FALSE,8.6,5.4,80,7,14,40.2,102.28,FALSE,FALSE
8.6,5.4,80,7,14,40.2,102.28,FALSE,9.1,6.5,84,8,15,40.2,102.32,FALSE,FALSE
9.1,6.5,84,8,15,40.2,102.32,FALSE,10,6.5,79,6,11,40.2,102.33,FALSE,FALSE
10,6.5,79,6,11,40.2,102.33,FALSE,10.9,7.5,79,12,8,40.2,102.33,FALSE,FALSE
10.9,7.5,79,12,8,40.2,102.33,FALSE,12.5,7.7,72,11,7,40.2,102.36,FALSE,FALSE
12.5,7.7,72,11,7,40.2,102.36,FALSE,11.5,7.9,78,26,17,40.2,102.35,FALSE,FALSE
11.5,7.9,78,26,17,40.2,102.35,FALSE,12.4,8.6,77,27,16,40.2,102.33,FALSE,FALSE
12.4,8.6,77,27,16,40.2,102.33,FALSE,12.8,7.4,70,26,11,40.2,102.29,FALSE,FALSE
12.8,7.4,70,26,11,40.2,102.29,FALSE,13.1,7.7,69,23,13,40.2,102.26,FALSE,FALSE
13.1,7.7,69,23,13,40.2,102.26,FALSE,13.6,8.5,71,24,10,40.2,102.19,FALSE,FALSE
13.6,8.5,71,24,10,40.2,102.19,FALSE,14.6,8.8,68,23,16,40.2,102.13,FALSE,FALSE
14.6,8.8,68,23,16,40.2,102.13,FALSE,14.1,7.3,64,19,18,40.2,102.1,FALSE,FALSE
14.1,7.3,64,19,18,40.2,102.1,FALSE,14.2,7.2,62,19,13,40.2,102.1,FALSE,FALSE
14.2,7.2,62,19,13,40.2,102.1,FALSE,12.9,5.4,60,18,11,40.2,102.08,FALSE,FALSE
12.9,5.4,60,18,11,40.2,102.08,FALSE,11.9,5.2,63,14,8,40.2,102.11,FALSE,FALSE
11.9,5.2,63,14,8,40.2,102.11,FALSE,10.4,6,74,9,13,32.2,102.11,FALSE,FALSE
10.4,6,74,9,13,32.2,102.11,FALSE,10.4,6.3,76,8,13,32.2,102.09,FALSE,FALSE
10.4,6.3,76,8,13,32.2,102.09,FALSE,9.6,6,78,9,16,32.2,102.1,FALSE,FALSE
9.6,6,78,9,16,32.2,102.1,FALSE,9.4,5.5,76,10,19,32.2,102.09,FALSE,FALSE
9.4,5.5,76,10,19,32.2,102.09,FALSE,9.4,5.1,74,9,18,32.2,102.09,FALSE,FALSE
9.4,5.1,74,9,18,32.2,102.09,FALSE,9.9,5.3,73,9,16,32.2,102.07,FALSE,FALSE
9.9,5.3,73,9,16,32.2,102.07,FALSE,9.7,5.5,75,9,19,32.2,102.07,FALSE,FALSE
9.7,5.5,75,9,19,32.2,102.07,FALSE,9.3,5.5,77,10,18,32.2,102.08,FALSE,FALSE
9.3,5.5,77,10,18,32.2,102.08,FALSE,9.3,5.4,76,11,15,32.2,102.07,FALSE,FALSE
9.3,5.4,76,11,15,32.2,102.07,FALSE,9.3,5.2,75,10,14,40.2,102.15,FALSE,FALSE
9.3,5.2,75,10,14,40.2,102.15,FALSE,10.3,6,75,10,21,40.2,102.14,FALSE,FALSE
10.3,6,75,10,21,40.2,102.14,FALSE,11,5.3,68,12,18,40.2,102.15,FALSE,TRUE
11,5.3,68,12,18,40.2,102.15,FALSE,10.9,6.2,73,12,17,40.2,102.16,TRUE,TRUE
10.9,6.2,73,12,17,40.2,102.16,TRUE,10.7,7.8,82,12,13,32.2,102.17,TRUE,TRUE
10.7,7.8,82,12,13,32.2,102.17,TRUE,10.6,7.8,83,17,11,24.1,102.17,TRUE,TRUE
10.6,7.8,83,17,11,24.1,102.17,TRUE,9.7,7.7,88,21,13,24.1,102.19,TRUE,TRUE
9.7,7.7,88,21,13,24.1,102.19,TRUE,9.9,8.7,92,24,8,8.1,102.2,TRUE,TRUE
9.9,8.7,92,24,8,8.1,102.2,TRUE,10.6,7.4,81,4,7,12.9,102.17,TRUE,TRUE
10.6,7.4,81,4,7,12.9,102.17,TRUE,11.2,7.7,78,9,5,12.9,102.14,TRUE,TRUE
11.2,7.7,78,9,5,12.9,102.14,TRUE,10.9,9,88,2,13,8.1,102.13,TRUE,FALSE
10.9,9,88,2,13,8.1,102.13,TRUE,11,8.8,86,4,16,12.9,102.1,FALSE,FALSE
11,8.8,86,4,16,12.9,102.1,FALSE,10.9,8.3,84,4,14,32.2,102.08,FALSE,TRUE
10.9,8.3,84,4,14,32.2,102.08,FALSE,10.9,8.4,85,3,12,19.3,102.08,TRUE,TRUE
10.9,8.4,85,3,12,19.3,102.08,TRUE,10.2,8.7,90,5,7,8.1,102.12,TRUE,FALSE
10.2,8.7,90,5,7,8.1,102.12,TRUE,10.6,8.8,88,4,9,32.2,102.14,FALSE,FALSE
10.6,8.8,88,4,9,32.2,102.14,FALSE,10.1,9.4,96,18,7,32.2,102.14,FALSE,FALSE
10.1,9.4,96,18,7,32.2,102.14,FALSE,9.9,9.4,96,21,7,32.2,102.13,FALSE,FALSE
9.9,9.4,96,21,7,32.2,102.13,FALSE,10,9.6,97,23,4,24.1,102.15,FALSE,FALSE
10,9.6,97,23,4,24.1,102.15,FALSE,10.2,9.4,95,30,7,32.2,102.18,FALSE,FALSE
10.2,9.4,95,30,7,32.2,102.18,FALSE,10.2,9.7,97,25,9,24.1,102.21,FALSE,FALSE
10.2,9.7,97,25,9,24.1,102.21,FALSE,9.9,9.5,97,29,9,24.1,102.22,FALSE,FALSE
9.9,9.5,97,29,9,24.1,102.22,FALSE,10.1,9.5,96,28,12,32.2,102.22,FALSE,FALSE
10.1,9.5,96,28,12,32.2,102.22,FALSE,9.4,8.8,96,29,12,32.2,102.26,FALSE,FALSE
9.4,8.8,96,29,12,32.2,102.26,FALSE,10.3,9.4,94,28,11,32.2,102.31,FALSE,FALSE
10.3,9.4,94,28,11,32.2,102.31,FALSE,11.1,8.7,85,33,5,32.2,102.36,FALSE,FALSE
11.1,8.7,85,33,5,32.2,102.36,FALSE,11.2,9.4,88,25,7,32.2,102.38,FALSE,FALSE
11.2,9.4,88,25,7,32.2,102.38,FALSE,12.9,11,88,26,10,40.2,102.4,FALSE,FALSE
12.9,11,88,26,10,40.2,102.4,FALSE,12.3,9,80,24,9,40.2,102.42,FALSE,FALSE
12.3,9,80,24,9,40.2,102.42,FALSE,13.2,10.9,86,26,12,40.2,102.44,FALSE,FALSE
13.2,10.9,86,26,12,40.2,102.44,FALSE,13.3,9.7,79,26,12,40.2,102.43,FALSE,FALSE
13.3,9.7,79,26,12,40.2,102.43,FALSE,13.9,9.1,72,25,14,40.2,102.42,FALSE,FALSE
13.9,9.1,72,25,14,40.2,102.42,FALSE,14.2,7.9,65,25,11,40.2,102.42,FALSE,FALSE
14.2,7.9,65,25,11,40.2,102.42,FALSE,14.9,7.3,60,24,11,40.2,102.38,FALSE,FALSE
14.9,7.3,60,24,11,40.2,102.38,FALSE,14.3,6.2,58,25,12,40.2,102.35,FALSE,FALSE
14.3,6.2,58,25,12,40.2,102.35,FALSE,14.1,7.8,66,24,11,40.2,102.34,FALSE,FALSE
14.1,7.8,66,24,11,40.2,102.34,FALSE,13.9,8.3,69,26,7,40.2,102.3,FALSE,FALSE
13.9,8.3,69,26,7,40.2,102.3,FALSE,12.7,8.1,74,28,5,40.2,102.26,FALSE,FALSE
12.7,8.1,74,28,5,40.2,102.26,FALSE,11.1,7.8,80,31,5,32.2,102.27,FALSE,FALSE
11.1,7.8,80,31,5,32.2,102.27,FALSE,11.3,6.8,74,35,3,32.2,102.31,FALSE,FALSE
11.3,6.8,74,35,3,32.2,102.31,FALSE,10.7,5.4,70,5,12,32.2,102.3,FALSE,FALSE
10.7,5.4,70,5,12,32.2,102.3,FALSE,9.5,3.9,68,36,2,32.2,102.27,FALSE,FALSE
9.5,3.9,68,36,2,32.2,102.27,FALSE,9.4,5.1,74,7,16,32.2,102.28,FALSE,FALSE
