Temp (C) -2h,Dew Point Temp (C) -2h,Rel Hum (%) -2h,Wind Dir (10s deg) -2h,Wind Spd (km/h) -2h,Visibility (km) -2h,Stn Press (kPa) -2h,Weather -2h,Temp (C) -1h,Dew Point Temp (C) -1h,Rel Hum (%) -1h,Wind Dir (10s deg) -1h,Wind Spd (km/h) -1h,Visibility (km) -1h,Stn Press (kPa) -1h,Weather -1h,Weather
4,3.5,96,8,13,32.2,100.58,FALSE,2.9,2.5,97,9,12,32.2,100.68,FALSE,FALSE
2.9,2.5,97,9,12,32.2,100.68,FALSE,4.1,3.5,96,8,15,32.2,100.76,FALSE,FALSE
4.1,3.5,96,8,15,32.2,100.76,FALSE,4.9,3.9,93,8,19,32.2,100.82,FALSE,TRUE
4.9,3.9,93,8,19,32.2,100.82,FALSE,6.1,5.4,95,13,21,24.1,100.86,TRUE,FALSE
6.1,5.4,95,13,21,24.1,100.86,TRUE,6,4.8,92,12,18,24.1,100.88,FALSE,TRUE
6,4.8,92,12,18,24.1,100.88,FALSE,5.3,4.7,95,14,24,4.8,101.04,TRUE,TRUE
5.3,4.7,95,14,24,4.8,101.04,TRUE,5.7,5,95,15,23,12.9,101.04,TRUE,FALSE
5.7,5,95,15,23,12.9,101.04,TRUE,7.1,5.9,92,15,22,24.1,101.06,FALSE,FALSE
7.1,5.9,92,15,22,24.1,101.06,FALSE,8.2,5.7,84,17,22,24.1,101.11,FALSE,FALSE
8.2,5.7,84,17,22,24.1,101.11,FALSE,8.8,6.2,84,17,28,24.1,101.17,FALSE,FALSE
8.8,6.2,84,17,28,24.1,101.17,FALSE,8.6,6.1,84,15,17,24.1,101.23,FALSE,FALSE
8.6,6.1,84,15,17,24.1,101.23,FALSE,8.3,5.8,84,16,20,24.1,101.29,FALSE,FALSE
8.3,5.8,84,16,20,24.1,101.29,FALSE,7.4,5.5,88,13,15,24.1,101.32,FALSE,FALSE
7.4,5.5,88,13,15,24.1,101.32,FALSE,6.7,5.3,91,10,17,24.1,101.35,FALSE,FALSE
6.7,5.3,91,10,17,24.1,101.35,FALSE,7.2,6,92,8,13,24.1,101.33,FALSE,FALSE
7.2,6,92,8,13,24.1,101.33,FALSE,7.1,5.9,92,11,18,24.1,101.34,FALSE,FALSE
7.1,5.9,92,11,18,24.1,101.34,FALSE,6.6,5.7,93,8,19,24.1,101.25,FALSE,FALSE
6.6,5.7,93,8,19,24.1,101.25,FALSE,7,5.6,91,7,21,24.1,101.15,FALSE,FALSE
7,5.6,91,7,21,24.1,101.15,FALSE,6.9,5.1,88,6,15,24.1,101.03,FALSE,FALSE
6.9,5.1,88,6,15,24.1,101.03,FALSE,6.8,4.4,84,7,14,24.1,100.94,FALSE,FALSE
6.8,4.4,84,7,14,24.1,100.94,FALSE,6.9,4,81,8,18,24.1,100.77,FALSE,TRUE
6.9,4,81,8,18,24.1,100.77,FALSE,6.1,4.3,88,10,29,24.1,100.61,TRUE,TRUE
6.1,4.3,88,10,29,24.1,100.61,TRUE,6.6,4.3,85,7,26,24.1,100.39,TRUE,TRUE
6.6,4.3,85,7,26,24.1,100.39,TRUE,6.5,4.7,88,8,19,24.1,100.18,TRUE,TRUE
6.5,4.7,88,8,19,24.1,100.18,TRUE,6.2,5,92,10,38,24.1,100.07,TRUE,TRUE
6.2,5,92,10,38,24.1,100.07,TRUE,6.6,5.4,92,9,30,24.1,99.98,TRUE,TRUE
6.6,5.4,92,9,30,24.1,99.98,TRUE,6.5,5.5,93,8,26,24.1,99.93,TRUE,TRUE
6.5,5.5,93,8,26,24.1,99.93,TRUE,6.6,5.8,95,9,17,12.9,99.88,TRUE,TRUE
6.6,5.8,95,9,17,12.9,99.88,TRUE,6.5,6,97,10,13,6.4,99.83,TRUE,TRUE
6.5,6,97,10,13,6.4,99.83,TRUE,6.6,6.2,97,9,13,6.4,99.82,TRUE,TRUE
6.6,6.2,97,9,13,6.4,99.82,TRUE,6.8,6.5,97,11,10,9.7,99.8,TRUE,TRUE
6.8,6.5,97,11,10,9.7,99.8,TRUE,6.8,6.3,97,24,8,6.4,99.86,TRUE,TRUE
6.8,6.3,97,24,8,6.4,99.86,TRUE,6.7,6.2,97,25,3,12.9,99.93,TRUE,FALSE
6.7,6.2,97,25,3,12.9,99.93,TRUE,6.8,6.1,95,25,3,16.1,99.96,FALSE,FALSE
6.8,6.1,95,25,3,16.1,99.96,FALSE,7.2,6.1,93,19,4,24.1,100.14,FALSE,FALSE
7.2,6.1,93,19,4,24.1,100.14,FALSE,7.4,6.3,93,9,4,16.1,100.36,FALSE,FALSE
7.4,6.3,93,9,4,16.1,100.36,FALSE,7.4,6.5,94,10,9,24.1,100.51,FALSE,FALSE
7.4,6.5,94,10,9,24.1,100.51,FALSE,7,6.4,96,13,4,24.1,100.61,FALSE,FALSE
7,6.4,96,13,4,24.1,100.61,FALSE,7.2,6.1,93,10,4,24.1,100.68,FALSE,FALSE
7.2,6.1,93,10,4,24.1,100.68,FALSE,6,5.2,95,26,5,24.1,100.86,FALSE,TRUE
6,5.2,95,26,5,24.1,100.86,FALSE,5.8,5.1,95,31,8,24.1,100.96,TRUE,FALSE
5.8,5.1,95,31,8,24.1,100.96,TRUE,4.6,4.1,96,34,4,24.1,101.02,FALSE,FALSE
